crypto,date,split,model_type,feature_set,feature_names,y_true,y_pred
ADAUSDT,2024-01-01,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.14107859,0.022499159
ADAUSDT,2024-01-02,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.16612288,0.020581327
ADAUSDT,2024-01-03,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.016208388,0.0077794455
ADAUSDT,2024-01-04,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.02100954,0.0029293224
ADAUSDT,2024-01-05,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.011386716,-0.0013188645
ADAUSDT,2024-01-06,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.049272887,-0.005296964
ADAUSDT,2024-01-07,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.06004157,-0.009483088
ADAUSDT,2024-01-08,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.025450476,-0.013266891
ADAUSDT,2024-01-09,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.044282045,-0.016920157
ADAUSDT,2024-01-10,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.06911908,-0.018928736
ADAUSDT,2024-01-11,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.14667583,-0.01803425
ADAUSDT,2024-01-12,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.082175486,-0.018501393
ADAUSDT,2024-01-13,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.06217381,-0.018182017
ADAUSDT,2024-01-14,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.042601015,-0.017156724
ADAUSDT,2024-01-15,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.09747325,-0.014992207
ADAUSDT,2024-01-16,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.11524239,-0.011998303
ADAUSDT,2024-01-17,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.10300728,-0.01070971
ADAUSDT,2024-01-18,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.07432227,-0.009867631
ADAUSDT,2024-01-19,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.03942692,-0.010620721
ADAUSDT,2024-01-20,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.059486702,-0.0093336925
ADAUSDT,2024-01-21,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.025970256,-0.009634104
ADAUSDT,2024-01-22,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.094436035,-0.011621743
ADAUSDT,2024-01-23,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.07329953,-0.013693258
ADAUSDT,2024-01-24,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.043328818,-0.01461244
ADAUSDT,2024-01-25,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.08461531,-0.015740227
ADAUSDT,2024-01-26,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.059447214,-0.01685778
ADAUSDT,2024-01-27,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.052485507,-0.01755701
ADAUSDT,2024-01-28,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.0063027553,-0.017229516
ADAUSDT,2024-01-29,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.061956305,-0.013367284
ADAUSDT,2024-01-30,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.030242447,-0.006889969
ADAUSDT,2024-01-31,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.009201906,-0.0031532757
ADAUSDT,2024-02-01,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.04354377,0.00038843974
ADAUSDT,2024-02-02,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.049474698,0.0071384124
ADAUSDT,2024-02-03,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.07353627,0.013659269
ADAUSDT,2024-02-04,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.092838176,0.014997125
ADAUSDT,2024-02-05,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.123162284,0.015268512
ADAUSDT,2024-02-06,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.089399986,0.015763216
ADAUSDT,2024-02-07,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.13849714,0.014465265
ADAUSDT,2024-02-08,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.13769409,0.021220744
ADAUSDT,2024-02-09,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.101729,0.029434502
ADAUSDT,2024-02-10,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.100161165,0.035431586
ADAUSDT,2024-02-11,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.13443144,0.03842496
ADAUSDT,2024-02-12,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.12048166,0.03951499
ADAUSDT,2024-02-13,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.13169451,0.038018055
ADAUSDT,2024-02-14,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.037432067,0.038640417
ADAUSDT,2024-02-15,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.038347103,0.04191845
ADAUSDT,2024-02-16,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.027436098,0.042827554
ADAUSDT,2024-02-17,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.02105341,0.041779302
ADAUSDT,2024-02-18,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.0460972,0.042585485
ADAUSDT,2024-02-19,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.018722044,0.042313747
ADAUSDT,2024-02-20,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.0036933,0.040215112
ADAUSDT,2024-02-21,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.048726544,0.035834514
ADAUSDT,2024-02-22,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.11119868,0.03129144
ADAUSDT,2024-02-23,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.21139903,0.026297607
ADAUSDT,2024-02-24,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.21706042,0.023049243
ADAUSDT,2024-02-25,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.20767108,0.020221323
ADAUSDT,2024-02-26,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.21825357,0.019977622
ADAUSDT,2024-02-27,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.10402929,0.022448175
