config_id,feature_set,model_type,n_features,cv_mse,seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience
5,ref_paper_set,baseline,4,0.008572233856679025,15,0.0001,32,2,0.1,32,35,0.0,5
35,ref_paper_set,baseline,4,0.008708821997111007,15,0.0001,32,2,0.2,64,20,1e-05,5
36,ref_paper_set,baseline,4,0.008769678318285548,10,0.001,32,1,0.2,64,50,0.0001,5
34,ref_paper_set,baseline,4,0.008780542134642244,25,0.0001,32,2,0.0,32,35,0.0,5
24,ref_paper_set,baseline,4,0.008796765020043727,10,0.001,64,2,0.0,32,20,1e-05,5
15,ref_paper_set,baseline,4,0.008863592817166569,25,0.0001,32,2,0.0,64,35,1e-05,5
8,ref_paper_set,baseline,4,0.008875217725742016,10,0.0001,64,2,0.3,64,20,0.0,5
27,ref_paper_set,baseline,4,0.008912440293703312,30,0.0005,64,2,0.1,64,50,0.0,5
26,ref_paper_set,baseline,4,0.0089405976286494,15,0.001,128,1,0.2,32,50,0.0001,5
20,ref_paper_set,baseline,4,0.008947379323247745,15,0.0005,32,1,0.3,64,20,0.0,5
29,ref_paper_set,baseline,4,0.008996607031419501,30,0.0005,32,2,0.3,32,35,0.0,5
17,ref_paper_set,baseline,4,0.009027074149552746,10,0.001,64,2,0.2,32,50,0.0001,5
7,ref_paper_set,baseline,4,0.00905318132750779,15,0.0005,32,2,0.1,64,20,1e-05,5
32,ref_paper_set,baseline,4,0.009094364897168842,15,0.0005,32,2,0.0,32,35,0.0001,5
14,ref_paper_set,baseline,4,0.009127019155990854,10,0.0005,64,2,0.3,64,20,1e-05,5
25,ref_paper_set,baseline,4,0.009135442003696766,25,0.0005,64,2,0.3,32,50,1e-05,5
22,ref_paper_set,baseline,4,0.009145092933740257,25,0.001,64,2,0.1,64,50,0.0001,5
18,ref_paper_set,baseline,4,0.009211103242166617,10,0.001,64,2,0.1,64,20,1e-05,5
10,ref_paper_set,baseline,4,0.009234587073030135,10,0.0005,128,2,0.2,64,20,0.0001,5
6,ref_paper_set,baseline,4,0.009250323491487007,15,0.0005,64,2,0.3,32,50,0.0001,5
33,ref_paper_set,baseline,4,0.009268227981330033,20,0.0001,64,2,0.0,32,50,1e-05,5
1,ref_paper_set,baseline,4,0.009270148146775159,30,0.001,32,1,0.3,32,20,0.0,5
9,ref_paper_set,baseline,4,0.009273391193348643,30,0.0005,128,2,0.3,32,35,0.0,5
11,ref_paper_set,baseline,4,0.00931018080285293,30,0.001,128,1,0.3,64,50,0.0001,5
4,ref_paper_set,baseline,4,0.009325331002429325,30,0.0001,32,1,0.1,32,50,0.0001,5
28,ref_paper_set,baseline,4,0.009376480933412321,30,0.001,32,2,0.3,64,35,1e-05,5
19,ref_paper_set,baseline,4,0.009399933577765541,10,0.0005,128,1,0.2,64,20,0.0001,5
13,ref_paper_set,baseline,4,0.009407325085584105,25,0.0005,64,1,0.0,32,35,0.0,5
12,ref_paper_set,baseline,4,0.009412013093875266,30,0.0001,32,1,0.1,32,20,1e-05,5
31,ref_paper_set,baseline,4,0.009431381325717024,20,0.0005,128,2,0.2,64,50,1e-05,5
16,ref_paper_set,baseline,4,0.00945500219062754,20,0.0001,32,1,0.0,32,20,0.0,5
30,ref_paper_set,baseline,4,0.009462194508353299,25,0.0005,64,1,0.0,32,20,0.0,5
21,ref_paper_set,baseline,4,0.00948984459990562,15,0.0005,64,1,0.1,64,50,0.0,5
23,ref_paper_set,baseline,4,0.009659504405531049,25,0.0001,64,1,0.1,64,50,0.0001,5
3,ref_paper_set,baseline,4,0.009681152422682091,10,0.001,64,1,0.3,32,50,0.0,5
2,ref_paper_set,baseline,4,0.009795116385269193,10,0.0001,32,1,0.2,64,35,0.0,5
