config_id,feature_set,model_type,n_features,cv_mse,seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience
35,ref_paper_set,regime,5,0.008510252511464816,15,0.0001,32,2,0.2,64,20,1e-05,5
7,ref_paper_set,regime,5,0.008613248794921535,15,0.0005,32,2,0.1,64,20,1e-05,5
28,ref_paper_set,regime,5,0.008746901294216515,30,0.001,32,2,0.3,64,35,1e-05,5
15,ref_paper_set,regime,5,0.008779469236293129,25,0.0001,32,2,0.0,64,35,1e-05,5
8,ref_paper_set,regime,5,0.008807622796155984,10,0.0001,64,2,0.3,64,20,0.0,5
18,ref_paper_set,regime,5,0.008821118114796538,10,0.001,64,2,0.1,64,20,1e-05,5
3,ref_paper_set,regime,5,0.008900480236265065,10,0.001,64,1,0.3,32,50,0.0,5
34,ref_paper_set,regime,5,0.008907322438039872,25,0.0001,32,2,0.0,32,35,0.0,5
12,ref_paper_set,regime,5,0.008923423365248076,30,0.0001,32,1,0.1,32,20,1e-05,5
5,ref_paper_set,regime,5,0.008963518493793229,15,0.0001,32,2,0.1,32,35,0.0,5
21,ref_paper_set,regime,5,0.0089714306764407,15,0.0005,64,1,0.1,64,50,0.0,5
31,ref_paper_set,regime,5,0.008974627149374787,20,0.0005,128,2,0.2,64,50,1e-05,5
17,ref_paper_set,regime,5,0.00898922304859276,10,0.001,64,2,0.2,32,50,0.0001,5
14,ref_paper_set,regime,5,0.008991613635557437,10,0.0005,64,2,0.3,64,20,1e-05,5
11,ref_paper_set,regime,5,0.008999422557536276,30,0.001,128,1,0.3,64,50,0.0001,5
24,ref_paper_set,regime,5,0.009000084611054247,10,0.001,64,2,0.0,32,20,1e-05,5
9,ref_paper_set,regime,5,0.009001120543157463,30,0.0005,128,2,0.3,32,35,0.0,5
26,ref_paper_set,regime,5,0.009001583469171508,15,0.001,128,1,0.2,32,50,0.0001,5
22,ref_paper_set,regime,5,0.009026327488939485,25,0.001,64,2,0.1,64,50,0.0001,5
10,ref_paper_set,regime,5,0.009029069305937226,10,0.0005,128,2,0.2,64,20,0.0001,5
36,ref_paper_set,regime,5,0.009054532115767169,10,0.001,32,1,0.2,64,50,0.0001,5
20,ref_paper_set,regime,5,0.009059134797886318,15,0.0005,32,1,0.3,64,20,0.0,5
13,ref_paper_set,regime,5,0.009087729177648022,25,0.0005,64,1,0.0,32,35,0.0,5
19,ref_paper_set,regime,5,0.009136840883862749,10,0.0005,128,1,0.2,64,20,0.0001,5
30,ref_paper_set,regime,5,0.009188397036166583,25,0.0005,64,1,0.0,32,20,0.0,5
6,ref_paper_set,regime,5,0.009236574833355889,15,0.0005,64,2,0.3,32,50,0.0001,5
1,ref_paper_set,regime,5,0.009239242258598514,30,0.001,32,1,0.3,32,20,0.0,5
4,ref_paper_set,regime,5,0.009249596577248978,30,0.0001,32,1,0.1,32,50,0.0001,5
2,ref_paper_set,regime,5,0.009309308413692095,10,0.0001,32,1,0.2,64,35,0.0,5
27,ref_paper_set,regime,5,0.009311928383209336,30,0.0005,64,2,0.1,64,50,0.0,5
32,ref_paper_set,regime,5,0.009317262278727324,15,0.0005,32,2,0.0,32,35,0.0001,5
25,ref_paper_set,regime,5,0.009336918744057185,25,0.0005,64,2,0.3,32,50,1e-05,5
23,ref_paper_set,regime,5,0.009437852234244702,25,0.0001,64,1,0.1,64,50,0.0001,5
29,ref_paper_set,regime,5,0.009486248081643469,30,0.0005,32,2,0.3,32,35,0.0,5
33,ref_paper_set,regime,5,0.00948983035189419,20,0.0001,64,2,0.0,32,50,1e-05,5
16,ref_paper_set,regime,5,0.009729837098302432,20,0.0001,32,1,0.0,32,20,0.0,5
