crypto,date,split,model_type,feature_set,feature_names,y_true,y_pred
BCHUSDT,2024-01-01,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.053299945,0.0054737777
BCHUSDT,2024-01-02,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.049023565,0.0044383556
BCHUSDT,2024-01-03,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.08476527,-0.0039635897
BCHUSDT,2024-01-04,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.14220971,-0.006440416
BCHUSDT,2024-01-05,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.0802677,-0.00593552
BCHUSDT,2024-01-06,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.07347245,-0.004099801
BCHUSDT,2024-01-07,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.055221055,-0.0027460754
BCHUSDT,2024-01-08,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.014679891,0.0018861741
BCHUSDT,2024-01-09,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.025807884,0.004516974
BCHUSDT,2024-01-10,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.04209882,0.0053097904
BCHUSDT,2024-01-11,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.14975375,0.01247336
BCHUSDT,2024-01-12,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.09076979,0.011378422
BCHUSDT,2024-01-13,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.060846016,0.003967069
BCHUSDT,2024-01-14,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.03647317,-0.0022249743
BCHUSDT,2024-01-15,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.059700787,-0.0045963153
BCHUSDT,2024-01-16,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.08991077,-0.004668176
BCHUSDT,2024-01-17,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.032885376,-0.007322967
BCHUSDT,2024-01-18,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.0046384227,-0.0109214485
BCHUSDT,2024-01-19,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.020895036,-0.011592582
BCHUSDT,2024-01-20,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.019056085,-0.006831974
BCHUSDT,2024-01-21,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.0,-0.0026888922
BCHUSDT,2024-01-22,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.023481162,-0.0007328987
BCHUSDT,2024-01-23,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.03340782,0.00027086586
BCHUSDT,2024-01-24,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.008499838,0.004365824
BCHUSDT,2024-01-25,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.0,0.005967453
BCHUSDT,2024-01-26,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.023008754,0.0079934895
BCHUSDT,2024-01-27,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.011141027,0.009258971
BCHUSDT,2024-01-28,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.007201895,0.0057589635
BCHUSDT,2024-01-29,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.023056984,0.0035217404
BCHUSDT,2024-01-30,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.009310266,0.0024829134
BCHUSDT,2024-01-31,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.026533458,-0.0032448098
BCHUSDT,2024-02-01,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.03325327,-0.0048860162
BCHUSDT,2024-02-02,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.057558015,-0.0029975027
BCHUSDT,2024-02-03,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.027825035,0.0027412325
BCHUSDT,2024-02-04,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.16574502,0.0008873567
BCHUSDT,2024-02-05,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.17358974,-0.0024868548
BCHUSDT,2024-02-06,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.13946612,-0.004236117
BCHUSDT,2024-02-07,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.15415068,0.00035659224
BCHUSDT,2024-02-08,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.100278124,0.008625597
BCHUSDT,2024-02-09,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.091197565,0.015819162
BCHUSDT,2024-02-10,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.07574965,0.01173307
BCHUSDT,2024-02-11,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.025539514,0.016018093
BCHUSDT,2024-02-12,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.026735697,0.013717949
BCHUSDT,2024-02-13,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.019418085,0.0051344857
BCHUSDT,2024-02-14,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.064752296,-0.00068657845
BCHUSDT,2024-02-15,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.037683435,-0.007229887
BCHUSDT,2024-02-16,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.03526066,-0.0105243325
BCHUSDT,2024-02-17,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.0014953273,-0.012585118
BCHUSDT,2024-02-18,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.010027939,-0.011189297
BCHUSDT,2024-02-19,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.005841565,-0.008666769
BCHUSDT,2024-02-20,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.09900552,-0.008670375
BCHUSDT,2024-02-21,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.1191757,-0.009304374
BCHUSDT,2024-02-22,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.13353139,-0.008401759
BCHUSDT,2024-02-23,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.17809401,-0.005997829
BCHUSDT,2024-02-24,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.62693876,-0.0022993684
BCHUSDT,2024-02-25,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.5631822,0.00051802397
BCHUSDT,2024-02-26,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.54447234,0.005273111
BCHUSDT,2024-02-27,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.31447163,0.020330623
BCHUSDT,2024-02-28,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.33849448,0.02229701
BCHUSDT,2024-02-29,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.37290674,0.01741378
BCHUSDT,2024-03-01,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.32209724,0.010751709
BCHUSDT,2024-03-02,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.14791724,0.021205068
BCHUSDT,2024-03-03,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.1054786,0.01805447
BCHUSDT,2024-03-04,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.05446622,0.0053310543
BCHUSDT,2024-03-05,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.08138461,-0.008105993
BCHUSDT,2024-03-06,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.06223609,-0.014108509
BCHUSDT,2024-03-07,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.019253403,-0.015283406
BCHUSDT,2024-03-08,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.046421837,-0.014792874
BCHUSDT,2024-03-09,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.106337905,-0.012268528
BCHUSDT,2024-03-10,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.050373845,-0.009792045
BCHUSDT,2024-03-11,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.111724265,-0.0071648657
BCHUSDT,2024-03-12,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.1925809,-0.0036391318
BCHUSDT,2024-03-13,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.076283306,0.0011808351
BCHUSDT,2024-03-14,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.061078753,0.005603388
BCHUSDT,2024-03-15,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.034669194,-0.00080449134
BCHUSDT,2024-03-16,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.15972295,0.006565571
BCHUSDT,2024-03-17,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.18641154,0.012253508
BCHUSDT,2024-03-18,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.19512372,0.018356606
BCHUSDT,2024-03-19,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.28956157,0.01285401
BCHUSDT,2024-03-20,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.27374393,0.015340626
BCHUSDT,2024-03-21,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.31423283,0.021264315
BCHUSDT,2024-03-22,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.363651,0.01972714
BCHUSDT,2024-03-23,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.27064815,0.02388075
BCHUSDT,2024-03-24,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.33582416,0.025442168
BCHUSDT,2024-03-25,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.2841881,0.02291198
BCHUSDT,2024-03-26,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.28757775,0.014939651
BCHUSDT,2024-03-27,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.09495599,0.012582853
BCHUSDT,2024-03-28,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.15932384,0.01010257
BCHUSDT,2024-03-29,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.057453785,0.004558578
BCHUSDT,2024-03-30,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.14940622,-0.004492238
BCHUSDT,2024-03-31,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.008947621,-0.0154602155
BCHUSDT,2024-04-01,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.050876282,-0.025363095
BCHUSDT,2024-04-02,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.050056223,-0.03918563
BCHUSDT,2024-04-03,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.059592098,-0.03931795
BCHUSDT,2024-04-04,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.080067754,-0.038330153
BCHUSDT,2024-04-05,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.20924395,-0.03210087
BCHUSDT,2024-04-06,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.36937544,-0.027583718
BCHUSDT,2024-04-07,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.26439613,-0.018780366
BCHUSDT,2024-04-08,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.29307768,-0.0103981495
BCHUSDT,2024-04-09,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.32190192,-0.005614504
BCHUSDT,2024-04-10,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.30478016,0.0055656284
BCHUSDT,2024-04-11,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.24030395,0.01843056
BCHUSDT,2024-04-12,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.11179947,0.032805547
BCHUSDT,2024-04-13,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.07199088,0.04260792
BCHUSDT,2024-04-14,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.04573226,0.05560787
BCHUSDT,2024-04-15,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.02793586,0.0573961
