config_id,feature_set,model_type,n_features,cv_mse,seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience
1,ref_paper_set,regime,5,0.013982445191037857,30,0.001,32,1,0.3,32,20,0.0,5
14,ref_paper_set,regime,5,0.014132205242782902,10,0.0005,64,2,0.3,64,20,1e-05,5
29,ref_paper_set,regime,5,0.01413691597056031,30,0.0005,32,2,0.3,32,35,0.0,5
33,ref_paper_set,regime,5,0.014136986517410818,20,0.0001,64,2,0.0,32,50,1e-05,5
35,ref_paper_set,regime,5,0.014140296349938394,15,0.0001,32,2,0.2,64,20,1e-05,5
15,ref_paper_set,regime,5,0.014147283670435723,25,0.0001,32,2,0.0,64,35,1e-05,5
6,ref_paper_set,regime,5,0.014193254452323367,15,0.0005,64,2,0.3,32,50,0.0001,5
9,ref_paper_set,regime,5,0.01420597264319525,30,0.0005,128,2,0.3,32,35,0.0,5
8,ref_paper_set,regime,5,0.014225091105338136,10,0.0001,64,2,0.3,64,20,0.0,5
18,ref_paper_set,regime,5,0.014235321040962921,10,0.001,64,2,0.1,64,20,1e-05,5
17,ref_paper_set,regime,5,0.014247775839456986,10,0.001,64,2,0.2,32,50,0.0001,5
32,ref_paper_set,regime,5,0.01425837497438305,15,0.0005,32,2,0.0,32,35,0.0001,5
30,ref_paper_set,regime,5,0.01427929596101983,25,0.0005,64,1,0.0,32,20,0.0,5
25,ref_paper_set,regime,5,0.014283438390087484,25,0.0005,64,2,0.3,32,50,1e-05,5
22,ref_paper_set,regime,5,0.01430223162565269,25,0.001,64,2,0.1,64,50,0.0001,5
10,ref_paper_set,regime,5,0.014317761204542598,10,0.0005,128,2,0.2,64,20,0.0001,5
12,ref_paper_set,regime,5,0.014337151733326102,30,0.0001,32,1,0.1,32,20,1e-05,5
7,ref_paper_set,regime,5,0.014365927766332026,15,0.0005,32,2,0.1,64,20,1e-05,5
5,ref_paper_set,regime,5,0.014371583669968262,15,0.0001,32,2,0.1,32,35,0.0,5
26,ref_paper_set,regime,5,0.014374981430139983,15,0.001,128,1,0.2,32,50,0.0001,5
24,ref_paper_set,regime,5,0.014383161666089828,10,0.001,64,2,0.0,32,20,1e-05,5
11,ref_paper_set,regime,5,0.014391711458236672,30,0.001,128,1,0.3,64,50,0.0001,5
27,ref_paper_set,regime,5,0.014392432435710548,30,0.0005,64,2,0.1,64,50,0.0,5
34,ref_paper_set,regime,5,0.01439578524120864,25,0.0001,32,2,0.0,32,35,0.0,5
13,ref_paper_set,regime,5,0.014437477659320583,25,0.0005,64,1,0.0,32,35,0.0,5
3,ref_paper_set,regime,5,0.014441947851067448,10,0.001,64,1,0.3,32,50,0.0,5
28,ref_paper_set,regime,5,0.014448332295418143,30,0.001,32,2,0.3,64,35,1e-05,5
16,ref_paper_set,regime,5,0.01446942948672827,20,0.0001,32,1,0.0,32,20,0.0,5
20,ref_paper_set,regime,5,0.014502561116522109,15,0.0005,32,1,0.3,64,20,0.0,5
31,ref_paper_set,regime,5,0.014511316055832531,20,0.0005,128,2,0.2,64,50,1e-05,5
36,ref_paper_set,regime,5,0.014531586537295629,10,0.001,32,1,0.2,64,50,0.0001,5
19,ref_paper_set,regime,5,0.014563353360033055,10,0.0005,128,1,0.2,64,20,0.0001,5
23,ref_paper_set,regime,5,0.014633432956993259,25,0.0001,64,1,0.1,64,50,0.0001,5
21,ref_paper_set,regime,5,0.014706687607859198,15,0.0005,64,1,0.1,64,50,0.0,5
4,ref_paper_set,regime,5,0.01499494974609362,30,0.0001,32,1,0.1,32,50,0.0001,5
2,ref_paper_set,regime,5,0.015048545850618891,10,0.0001,32,1,0.2,64,35,0.0,5
