config_id,feature_set,model_type,n_features,cv_mse,seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience
23,ref_paper_set,baseline,4,0.004679405597741509,25,0.0001,64,1,0.1,64,50,0.0001,5
29,ref_paper_set,baseline,4,0.004816808783747712,30,0.0005,32,2,0.3,32,35,0.0,5
35,ref_paper_set,baseline,4,0.004867053415883319,15,0.0001,32,2,0.2,64,20,1e-05,5
20,ref_paper_set,baseline,4,0.004882510517020916,15,0.0005,32,1,0.3,64,20,0.0,5
21,ref_paper_set,baseline,4,0.004905149086796887,15,0.0005,64,1,0.1,64,50,0.0,5
10,ref_paper_set,baseline,4,0.0049087924004021675,10,0.0005,128,2,0.2,64,20,0.0001,5
32,ref_paper_set,baseline,4,0.004934098308109272,15,0.0005,32,2,0.0,32,35,0.0001,5
28,ref_paper_set,baseline,4,0.004939429472804764,30,0.001,32,2,0.3,64,35,1e-05,5
15,ref_paper_set,baseline,4,0.004948462993563058,25,0.0001,32,2,0.0,64,35,1e-05,5
8,ref_paper_set,baseline,4,0.004968931352908265,10,0.0001,64,2,0.3,64,20,0.0,5
14,ref_paper_set,baseline,4,0.004977269190307395,10,0.0005,64,2,0.3,64,20,1e-05,5
33,ref_paper_set,baseline,4,0.004988429933748004,20,0.0001,64,2,0.0,32,50,1e-05,5
3,ref_paper_set,baseline,4,0.0049922611398050465,10,0.001,64,1,0.3,32,50,0.0,5
17,ref_paper_set,baseline,4,0.004997543332176984,10,0.001,64,2,0.2,32,50,0.0001,5
7,ref_paper_set,baseline,4,0.004997763434328192,15,0.0005,32,2,0.1,64,20,1e-05,5
6,ref_paper_set,baseline,4,0.005014721136648662,15,0.0005,64,2,0.3,32,50,0.0001,5
4,ref_paper_set,baseline,4,0.005026513783986098,30,0.0001,32,1,0.1,32,50,0.0001,5
18,ref_paper_set,baseline,4,0.005071952644935303,10,0.001,64,2,0.1,64,20,1e-05,5
5,ref_paper_set,baseline,4,0.005085598087739955,15,0.0001,32,2,0.1,32,35,0.0,5
25,ref_paper_set,baseline,4,0.005085727353533007,25,0.0005,64,2,0.3,32,50,1e-05,5
27,ref_paper_set,baseline,4,0.0050888922124747256,30,0.0005,64,2,0.1,64,50,0.0,5
36,ref_paper_set,baseline,4,0.005105941667802312,10,0.001,32,1,0.2,64,50,0.0001,5
19,ref_paper_set,baseline,4,0.005132241109625315,10,0.0005,128,1,0.2,64,20,0.0001,5
22,ref_paper_set,baseline,4,0.00516649984624298,25,0.001,64,2,0.1,64,50,0.0001,5
9,ref_paper_set,baseline,4,0.005175051664496275,30,0.0005,128,2,0.3,32,35,0.0,5
30,ref_paper_set,baseline,4,0.005185144724493475,25,0.0005,64,1,0.0,32,20,0.0,5
24,ref_paper_set,baseline,4,0.00519261620456148,10,0.001,64,2,0.0,32,20,1e-05,5
31,ref_paper_set,baseline,4,0.005202646236302022,20,0.0005,128,2,0.2,64,50,1e-05,5
16,ref_paper_set,baseline,4,0.005240393626857482,20,0.0001,32,1,0.0,32,20,0.0,5
34,ref_paper_set,baseline,4,0.005249110545160242,25,0.0001,32,2,0.0,32,35,0.0,5
13,ref_paper_set,baseline,4,0.005266144589157698,25,0.0005,64,1,0.0,32,35,0.0,5
26,ref_paper_set,baseline,4,0.005271920517616623,15,0.001,128,1,0.2,32,50,0.0001,5
1,ref_paper_set,baseline,4,0.005359516700778686,30,0.001,32,1,0.3,32,20,0.0,5
11,ref_paper_set,baseline,4,0.00536794817726614,30,0.001,128,1,0.3,64,50,0.0001,5
2,ref_paper_set,baseline,4,0.005380491748980159,10,0.0001,32,1,0.2,64,35,0.0,5
12,ref_paper_set,baseline,4,0.005659425371073925,30,0.0001,32,1,0.1,32,20,1e-05,5
