crypto,date,split,model_type,feature_set,feature_names,y_true,y_pred
BNBUSDT,2024-01-01,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.031758986,0.049858496
BNBUSDT,2024-01-02,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.036201574,0.044003747
BNBUSDT,2024-01-03,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.03217781,0.038613014
BNBUSDT,2024-01-04,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.04906824,0.035110362
BNBUSDT,2024-01-05,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.06809339,0.030850925
BNBUSDT,2024-01-06,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.017386038,0.023153998
BNBUSDT,2024-01-07,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.009636227,0.0136504695
BNBUSDT,2024-01-08,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.044437446,0.002460178
BNBUSDT,2024-01-09,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.045764923,-0.003657136
BNBUSDT,2024-01-10,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.011703645,-0.0052587464
BNBUSDT,2024-01-11,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.015454268,-0.005473811
BNBUSDT,2024-01-12,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.059235375,-0.0064429455
BNBUSDT,2024-01-13,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.04844344,-0.0070712417
BNBUSDT,2024-01-14,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.06182198,-0.007952757
BNBUSDT,2024-01-15,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.037219565,-0.008600403
BNBUSDT,2024-01-16,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.053432904,-0.006252121
BNBUSDT,2024-01-17,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.054121092,-0.005771175
BNBUSDT,2024-01-18,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.06910698,-0.003366083
BNBUSDT,2024-01-19,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.040530752,-0.0004888959
BNBUSDT,2024-01-20,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.037255432,0.004015319
BNBUSDT,2024-01-21,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.0426415,0.009388305
BNBUSDT,2024-01-22,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.015569565,0.0051702
BNBUSDT,2024-01-23,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.029025784,-0.003136959
BNBUSDT,2024-01-24,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.024933906,-0.00681613
BNBUSDT,2024-01-25,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.02735271,-0.0071146637
BNBUSDT,2024-01-26,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.0026507636,-0.008750528
BNBUSDT,2024-01-27,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.019495083,-0.009773761
BNBUSDT,2024-01-28,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.0019672138,-0.010795308
BNBUSDT,2024-01-29,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.03105332,-0.009523211
BNBUSDT,2024-01-30,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.016058022,-0.008088861
BNBUSDT,2024-01-31,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.022376714,-0.009340698
BNBUSDT,2024-02-01,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.061368946,-0.009902347
BNBUSDT,2024-02-02,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.07230523,-0.009234166
BNBUSDT,2024-02-03,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.07487035,-0.008724453
BNBUSDT,2024-02-04,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.05117842,-0.0074226484
BNBUSDT,2024-02-05,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.08462917,-0.007385172
BNBUSDT,2024-02-06,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.070159465,-0.0076778308
BNBUSDT,2024-02-07,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.08301708,-0.0053452216
BNBUSDT,2024-02-08,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.104043856,0.011574209
BNBUSDT,2024-02-09,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.10647101,0.031075992
BNBUSDT,2024-02-10,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.08853241,0.03745591
BNBUSDT,2024-02-11,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.086855456,0.03840535
BNBUSDT,2024-02-12,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.0700905,0.039109655
BNBUSDT,2024-02-13,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.08808871,0.035722047
