config_id,feature_set,model_type,n_features,cv_mse,seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience
14,ref_paper_set,regime,5,0.004771686146000184,10,0.0005,64,2,0.3,64,20,1e-05,5
5,ref_paper_set,regime,5,0.004869419939578438,15,0.0001,32,2,0.1,32,35,0.0,5
29,ref_paper_set,regime,5,0.0048768041861130046,30,0.0005,32,2,0.3,32,35,0.0,5
15,ref_paper_set,regime,5,0.004947000139074682,25,0.0001,32,2,0.0,64,35,1e-05,5
13,ref_paper_set,regime,5,0.004949132764255495,25,0.0005,64,1,0.0,32,35,0.0,5
10,ref_paper_set,regime,5,0.004965715984112317,10,0.0005,128,2,0.2,64,20,0.0001,5
8,ref_paper_set,regime,5,0.004969455840373734,10,0.0001,64,2,0.3,64,20,0.0,5
7,ref_paper_set,regime,5,0.0049717482795556085,15,0.0005,32,2,0.1,64,20,1e-05,5
27,ref_paper_set,regime,5,0.004978898295124586,30,0.0005,64,2,0.1,64,50,0.0,5
33,ref_paper_set,regime,5,0.004984700186077946,20,0.0001,64,2,0.0,32,50,1e-05,5
4,ref_paper_set,regime,5,0.0049893560676347,30,0.0001,32,1,0.1,32,50,0.0001,5
20,ref_paper_set,regime,5,0.004991002315581635,15,0.0005,32,1,0.3,64,20,0.0,5
17,ref_paper_set,regime,5,0.004991957138925613,10,0.001,64,2,0.2,32,50,0.0001,5
34,ref_paper_set,regime,5,0.004997658273182908,25,0.0001,32,2,0.0,32,35,0.0,5
32,ref_paper_set,regime,5,0.004998468636413268,15,0.0005,32,2,0.0,32,35,0.0001,5
31,ref_paper_set,regime,5,0.005003575400144458,20,0.0005,128,2,0.2,64,50,1e-05,5
9,ref_paper_set,regime,5,0.005005359514083729,30,0.0005,128,2,0.3,32,35,0.0,5
26,ref_paper_set,regime,5,0.005043448572099351,15,0.001,128,1,0.2,32,50,0.0001,5
28,ref_paper_set,regime,5,0.005082748648949777,30,0.001,32,2,0.3,64,35,1e-05,5
23,ref_paper_set,regime,5,0.00508843086321372,25,0.0001,64,1,0.1,64,50,0.0001,5
25,ref_paper_set,regime,5,0.005104345490509509,25,0.0005,64,2,0.3,32,50,1e-05,5
22,ref_paper_set,regime,5,0.005113352343605291,25,0.001,64,2,0.1,64,50,0.0001,5
19,ref_paper_set,regime,5,0.005133992156849477,10,0.0005,128,1,0.2,64,20,0.0001,5
24,ref_paper_set,regime,5,0.005134442967846444,10,0.001,64,2,0.0,32,20,1e-05,5
6,ref_paper_set,regime,5,0.005149496610406029,15,0.0005,64,2,0.3,32,50,0.0001,5
35,ref_paper_set,regime,5,0.005161506460429912,15,0.0001,32,2,0.2,64,20,1e-05,5
18,ref_paper_set,regime,5,0.005168121975007619,10,0.001,64,2,0.1,64,20,1e-05,5
30,ref_paper_set,regime,5,0.005205832038457497,25,0.0005,64,1,0.0,32,20,0.0,5
11,ref_paper_set,regime,5,0.005223082717947035,30,0.001,128,1,0.3,64,50,0.0001,5
21,ref_paper_set,regime,5,0.005258918242760475,15,0.0005,64,1,0.1,64,50,0.0,5
3,ref_paper_set,regime,5,0.005264115886522953,10,0.001,64,1,0.3,32,50,0.0,5
12,ref_paper_set,regime,5,0.005343105669162296,30,0.0001,32,1,0.1,32,20,1e-05,5
36,ref_paper_set,regime,5,0.005358138488435377,10,0.001,32,1,0.2,64,50,0.0001,5
1,ref_paper_set,regime,5,0.005413537044434172,30,0.001,32,1,0.3,32,20,0.0,5
16,ref_paper_set,regime,5,0.00564925278383424,20,0.0001,32,1,0.0,32,20,0.0,5
2,ref_paper_set,regime,5,0.005942819229179154,10,0.0001,32,1,0.2,64,35,0.0,5
