config_id,feature_set,model_type,n_features,cv_mse,seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience
20,ref_paper_set,baseline,4,0.004806889604394331,15,0.0005,32,1,0.3,64,20,0.0,5
8,ref_paper_set,baseline,4,0.0048216124388387625,10,0.0001,64,2,0.3,64,20,0.0,5
15,ref_paper_set,baseline,4,0.004888457265422984,25,0.0001,32,2,0.0,64,35,1e-05,5
27,ref_paper_set,baseline,4,0.004898135132295955,30,0.0005,64,2,0.1,64,50,0.0,5
18,ref_paper_set,baseline,4,0.004905323859992945,10,0.001,64,2,0.1,64,20,1e-05,5
33,ref_paper_set,baseline,4,0.004912729927411263,20,0.0001,64,2,0.0,32,50,1e-05,5
19,ref_paper_set,baseline,4,0.004913483296683461,10,0.0005,128,1,0.2,64,20,0.0001,5
10,ref_paper_set,baseline,4,0.004915190449767838,10,0.0005,128,2,0.2,64,20,0.0001,5
12,ref_paper_set,baseline,4,0.004919434866376707,30,0.0001,32,1,0.1,32,20,1e-05,5
32,ref_paper_set,baseline,4,0.004920323546241475,15,0.0005,32,2,0.0,32,35,0.0001,5
6,ref_paper_set,baseline,4,0.004922231556073676,15,0.0005,64,2,0.3,32,50,0.0001,5
35,ref_paper_set,baseline,4,0.004923625917548343,15,0.0001,32,2,0.2,64,20,1e-05,5
2,ref_paper_set,baseline,4,0.0049447499487099535,10,0.0001,32,1,0.2,64,35,0.0,5
24,ref_paper_set,baseline,4,0.00495239459291816,10,0.001,64,2,0.0,32,20,1e-05,5
13,ref_paper_set,baseline,4,0.004958359793444295,25,0.0005,64,1,0.0,32,35,0.0,5
9,ref_paper_set,baseline,4,0.004958581148572778,30,0.0005,128,2,0.3,32,35,0.0,5
7,ref_paper_set,baseline,4,0.004959986408458347,15,0.0005,32,2,0.1,64,20,1e-05,5
30,ref_paper_set,baseline,4,0.004962617579751327,25,0.0005,64,1,0.0,32,20,0.0,5
31,ref_paper_set,baseline,4,0.004967223413325034,20,0.0005,128,2,0.2,64,50,1e-05,5
17,ref_paper_set,baseline,4,0.0049748286197566745,10,0.001,64,2,0.2,32,50,0.0001,5
22,ref_paper_set,baseline,4,0.0049785254514465175,25,0.001,64,2,0.1,64,50,0.0001,5
21,ref_paper_set,baseline,4,0.004988881026881746,15,0.0005,64,1,0.1,64,50,0.0,5
29,ref_paper_set,baseline,4,0.005005073856441093,30,0.0005,32,2,0.3,32,35,0.0,5
11,ref_paper_set,baseline,4,0.0050094571621618995,30,0.001,128,1,0.3,64,50,0.0001,5
14,ref_paper_set,baseline,4,0.005025181782249279,10,0.0005,64,2,0.3,64,20,1e-05,5
26,ref_paper_set,baseline,4,0.005026158755016485,15,0.001,128,1,0.2,32,50,0.0001,5
16,ref_paper_set,baseline,4,0.005028804222479565,20,0.0001,32,1,0.0,32,20,0.0,5
23,ref_paper_set,baseline,4,0.005033036593301611,25,0.0001,64,1,0.1,64,50,0.0001,5
25,ref_paper_set,baseline,4,0.00504499136455237,25,0.0005,64,2,0.3,32,50,1e-05,5
28,ref_paper_set,baseline,4,0.005046628497332599,30,0.001,32,2,0.3,64,35,1e-05,5
5,ref_paper_set,baseline,4,0.0050468347580393275,15,0.0001,32,2,0.1,32,35,0.0,5
3,ref_paper_set,baseline,4,0.005054526314614485,10,0.001,64,1,0.3,32,50,0.0,5
36,ref_paper_set,baseline,4,0.005086002493461621,10,0.001,32,1,0.2,64,50,0.0001,5
34,ref_paper_set,baseline,4,0.005141544525537711,25,0.0001,32,2,0.0,32,35,0.0,5
1,ref_paper_set,baseline,4,0.005151247845953186,30,0.001,32,1,0.3,32,20,0.0,5
4,ref_paper_set,baseline,4,0.005349335145664801,30,0.0001,32,1,0.1,32,50,0.0001,5
