crypto,date,split,model_type,feature_set,feature_names,y_true,y_pred
BTCUSDT,2024-01-01,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.060843345,-0.01838769
BTCUSDT,2024-01-02,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.02554783,-0.016832747
BTCUSDT,2024-01-03,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.08516414,-0.026425973
BTCUSDT,2024-01-04,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.04836955,-0.023009092
BTCUSDT,2024-01-05,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.031347647,-0.023313865
BTCUSDT,2024-01-06,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.025810638,-0.022401206
BTCUSDT,2024-01-07,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.051298544,-0.021833956
BTCUSDT,2024-01-08,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.09934014,-0.018307582
BTCUSDT,2024-01-09,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.06662673,-0.019915253
BTCUSDT,2024-01-10,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.08677892,-0.022825673
BTCUSDT,2024-01-11,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.114459254,-0.023842469
BTCUSDT,2024-01-12,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.026616365,-0.03124927
BTCUSDT,2024-01-13,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.027252575,-0.026986524
BTCUSDT,2024-01-14,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.0036493884,-0.019273326
BTCUSDT,2024-01-15,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.071744,-0.010553762
BTCUSDT,2024-01-16,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.07808695,-0.0038799793
BTCUSDT,2024-01-17,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.06498033,0.0018384904
BTCUSDT,2024-01-18,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.033621907,0.0033095628
BTCUSDT,2024-01-19,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.0039404696,0.0072617233
BTCUSDT,2024-01-20,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.010131484,0.010085598
BTCUSDT,2024-01-21,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.0107816495,0.010934904
BTCUSDT,2024-01-22,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.09019377,0.0076027364
BTCUSDT,2024-01-23,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.07351324,0.0078314245
BTCUSDT,2024-01-24,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.060385454,0.009462163
BTCUSDT,2024-01-25,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.07522087,0.009758234
BTCUSDT,2024-01-26,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.032381874,0.015433744
BTCUSDT,2024-01-27,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.020920346,0.013855115
BTCUSDT,2024-01-28,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.013043426,0.009373426
BTCUSDT,2024-01-29,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.013812342,0.0036716908
BTCUSDT,2024-01-30,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.0036692256,-0.0040880293
BTCUSDT,2024-01-31,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.04071903,-0.010997519
BTCUSDT,2024-02-01,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.049929354,-0.01417008
BTCUSDT,2024-02-02,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.08712802,-0.016822211
BTCUSDT,2024-02-03,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.1045439,-0.019137502
BTCUSDT,2024-02-04,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.12597907,-0.020920888
BTCUSDT,2024-02-05,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.15596439,-0.017989531
