config_id,feature_set,model_type,n_features,cv_mse,seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience
35,ref_paper_set,regime,5,0.0048662759917910605,15,0.0001,32,2,0.2,64,20,1e-05,5
5,ref_paper_set,regime,5,0.004905506486181346,15,0.0001,32,2,0.1,32,35,0.0,5
24,ref_paper_set,regime,5,0.004924824240019661,10,0.001,64,2,0.0,32,20,1e-05,5
6,ref_paper_set,regime,5,0.004931550943469317,15,0.0005,64,2,0.3,32,50,0.0001,5
34,ref_paper_set,regime,5,0.0049361869745098924,25,0.0001,32,2,0.0,32,35,0.0,5
8,ref_paper_set,regime,5,0.004938377023982207,10,0.0001,64,2,0.3,64,20,0.0,5
18,ref_paper_set,regime,5,0.004938848514572034,10,0.001,64,2,0.1,64,20,1e-05,5
1,ref_paper_set,regime,5,0.00494562204531992,30,0.001,32,1,0.3,32,20,0.0,5
33,ref_paper_set,regime,5,0.0049687123002335335,20,0.0001,64,2,0.0,32,50,1e-05,5
29,ref_paper_set,regime,5,0.004972373132275839,30,0.0005,32,2,0.3,32,35,0.0,5
32,ref_paper_set,regime,5,0.004973991097488914,15,0.0005,32,2,0.0,32,35,0.0001,5
11,ref_paper_set,regime,5,0.0049742294235581705,30,0.001,128,1,0.3,64,50,0.0001,5
7,ref_paper_set,regime,5,0.004975533168918004,15,0.0005,32,2,0.1,64,20,1e-05,5
28,ref_paper_set,regime,5,0.004981502123073293,30,0.001,32,2,0.3,64,35,1e-05,5
10,ref_paper_set,regime,5,0.004984425035422293,10,0.0005,128,2,0.2,64,20,0.0001,5
14,ref_paper_set,regime,5,0.004990319900978674,10,0.0005,64,2,0.3,64,20,1e-05,5
27,ref_paper_set,regime,5,0.00499730880040227,30,0.0005,64,2,0.1,64,50,0.0,5
31,ref_paper_set,regime,5,0.005010391010684735,20,0.0005,128,2,0.2,64,50,1e-05,5
4,ref_paper_set,regime,5,0.005018860650500016,30,0.0001,32,1,0.1,32,50,0.0001,5
25,ref_paper_set,regime,5,0.005044016475873257,25,0.0005,64,2,0.3,32,50,1e-05,5
22,ref_paper_set,regime,5,0.005064571727642493,25,0.001,64,2,0.1,64,50,0.0001,5
13,ref_paper_set,regime,5,0.005064674545181837,25,0.0005,64,1,0.0,32,35,0.0,5
17,ref_paper_set,regime,5,0.005067789811457245,10,0.001,64,2,0.2,32,50,0.0001,5
19,ref_paper_set,regime,5,0.005074700200029653,10,0.0005,128,1,0.2,64,20,0.0001,5
15,ref_paper_set,regime,5,0.005102671468015671,25,0.0001,32,2,0.0,64,35,1e-05,5
23,ref_paper_set,regime,5,0.005109241119928919,25,0.0001,64,1,0.1,64,50,0.0001,5
26,ref_paper_set,regime,5,0.0051093715672957596,15,0.001,128,1,0.2,32,50,0.0001,5
9,ref_paper_set,regime,5,0.0051135119669536615,30,0.0005,128,2,0.3,32,35,0.0,5
3,ref_paper_set,regime,5,0.005126549166510674,10,0.001,64,1,0.3,32,50,0.0,5
30,ref_paper_set,regime,5,0.005152988900636209,25,0.0005,64,1,0.0,32,20,0.0,5
21,ref_paper_set,regime,5,0.005195479837188935,15,0.0005,64,1,0.1,64,50,0.0,5
20,ref_paper_set,regime,5,0.005197946272943149,15,0.0005,32,1,0.3,64,20,0.0,5
36,ref_paper_set,regime,5,0.005302109402991618,10,0.001,32,1,0.2,64,50,0.0001,5
16,ref_paper_set,regime,5,0.005330854967659899,20,0.0001,32,1,0.0,32,20,0.0,5
2,ref_paper_set,regime,5,0.005469089419844704,10,0.0001,32,1,0.2,64,35,0.0,5
12,ref_paper_set,regime,5,0.005520180118934495,30,0.0001,32,1,0.1,32,20,1e-05,5
