config_id,feature_set,model_type,n_features,cv_mse,seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience
4,ref_paper_set,baseline,4,0.006101956313289312,30,0.0001,32,1,0.1,32,50,0.0001,5
7,ref_paper_set,baseline,4,0.006272344694939762,15,0.0005,32,2,0.1,64,20,1e-05,5
34,ref_paper_set,baseline,4,0.006289080127395229,25,0.0001,32,2,0.0,32,35,0.0,5
32,ref_paper_set,baseline,4,0.006294755536821986,15,0.0005,32,2,0.0,32,35,0.0001,5
5,ref_paper_set,baseline,4,0.0063153434857885216,15,0.0001,32,2,0.1,32,35,0.0,5
14,ref_paper_set,baseline,4,0.0063392921926575,10,0.0005,64,2,0.3,64,20,1e-05,5
18,ref_paper_set,baseline,4,0.006348270376637387,10,0.001,64,2,0.1,64,20,1e-05,5
8,ref_paper_set,baseline,4,0.006389326058364872,10,0.0001,64,2,0.3,64,20,0.0,5
33,ref_paper_set,baseline,4,0.0063895084112832535,20,0.0001,64,2,0.0,32,50,1e-05,5
23,ref_paper_set,baseline,4,0.006399328916794271,25,0.0001,64,1,0.1,64,50,0.0001,5
22,ref_paper_set,baseline,4,0.006400575921733073,25,0.001,64,2,0.1,64,50,0.0001,5
19,ref_paper_set,baseline,4,0.006401744991064678,10,0.0005,128,1,0.2,64,20,0.0001,5
28,ref_paper_set,baseline,4,0.006401845952582862,30,0.001,32,2,0.3,64,35,1e-05,5
20,ref_paper_set,baseline,4,0.006402313014452893,15,0.0005,32,1,0.3,64,20,0.0,5
29,ref_paper_set,baseline,4,0.006419128748218851,30,0.0005,32,2,0.3,32,35,0.0,5
26,ref_paper_set,baseline,4,0.006449354962438008,15,0.001,128,1,0.2,32,50,0.0001,5
17,ref_paper_set,baseline,4,0.006476477120172348,10,0.001,64,2,0.2,32,50,0.0001,5
15,ref_paper_set,baseline,4,0.0064873976547831814,25,0.0001,32,2,0.0,64,35,1e-05,5
27,ref_paper_set,baseline,4,0.006492531601804963,30,0.0005,64,2,0.1,64,50,0.0,5
35,ref_paper_set,baseline,4,0.006516309110867806,15,0.0001,32,2,0.2,64,20,1e-05,5
12,ref_paper_set,baseline,4,0.006540587055948901,30,0.0001,32,1,0.1,32,20,1e-05,5
9,ref_paper_set,baseline,4,0.006541235224575277,30,0.0005,128,2,0.3,32,35,0.0,5
25,ref_paper_set,baseline,4,0.0065420059400086,25,0.0005,64,2,0.3,32,50,1e-05,5
6,ref_paper_set,baseline,4,0.006556826794797914,15,0.0005,64,2,0.3,32,50,0.0001,5
30,ref_paper_set,baseline,4,0.006564295442197405,25,0.0005,64,1,0.0,32,20,0.0,5
2,ref_paper_set,baseline,4,0.006567021612913305,10,0.0001,32,1,0.2,64,35,0.0,5
21,ref_paper_set,baseline,4,0.006570777252943478,15,0.0005,64,1,0.1,64,50,0.0,5
10,ref_paper_set,baseline,4,0.006595648672660365,10,0.0005,128,2,0.2,64,20,0.0001,5
36,ref_paper_set,baseline,4,0.006615193200972501,10,0.001,32,1,0.2,64,50,0.0001,5
3,ref_paper_set,baseline,4,0.0066251404511268285,10,0.001,64,1,0.3,32,50,0.0,5
31,ref_paper_set,baseline,4,0.006640712587710017,20,0.0005,128,2,0.2,64,50,1e-05,5
11,ref_paper_set,baseline,4,0.0066507390468423635,30,0.001,128,1,0.3,64,50,0.0001,5
13,ref_paper_set,baseline,4,0.006719831118845296,25,0.0005,64,1,0.0,32,35,0.0,5
24,ref_paper_set,baseline,4,0.006813622231776309,10,0.001,64,2,0.0,32,20,1e-05,5
1,ref_paper_set,baseline,4,0.006922386137138844,30,0.001,32,1,0.3,32,20,0.0,5
16,ref_paper_set,baseline,4,0.007108085744383076,20,0.0001,32,1,0.0,32,20,0.0,5
