crypto,date,split,model_type,feature_set,feature_names,y_true,y_pred
ETHUSDT,2024-01-01,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.009225946,0.002539724
ETHUSDT,2024-01-02,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.0047025066,0.0034331828
ETHUSDT,2024-01-03,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.15661982,0.002400577
ETHUSDT,2024-01-04,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.14390859,0.002073571
ETHUSDT,2024-01-05,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.10602409,0.0025226325
ETHUSDT,2024-01-06,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.14026359,0.0017004386
ETHUSDT,2024-01-07,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.10723279,-0.0016252548
ETHUSDT,2024-01-08,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.07493457,-0.00573048
ETHUSDT,2024-01-09,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.09867093,-0.010411758
ETHUSDT,2024-01-10,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.021191236,-0.0110446885
ETHUSDT,2024-01-11,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.057868455,-0.008193437
ETHUSDT,2024-01-12,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.01218073,0.0020341426
ETHUSDT,2024-01-13,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.042056017,0.010830268
ETHUSDT,2024-01-14,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.006417976,0.016521513
ETHUSDT,2024-01-15,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.08192761,0.019820347
ETHUSDT,2024-01-16,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.1430176,0.020144038
ETHUSDT,2024-01-17,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.124044225,0.016544104
ETHUSDT,2024-01-18,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.107651636,0.014036939
ETHUSDT,2024-01-19,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.09432832,0.009737171
ETHUSDT,2024-01-20,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.086159654,0.0044142082
ETHUSDT,2024-01-21,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.08496925,-0.002797015
ETHUSDT,2024-01-22,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.001468112,-0.0065715984
ETHUSDT,2024-01-23,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.04380052,-0.009349525
ETHUSDT,2024-01-24,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.021301512,0.005624555
ETHUSDT,2024-01-25,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.037873868,0.017085843
ETHUSDT,2024-01-26,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.018083233,0.016976878
ETHUSDT,2024-01-27,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.01250994,0.017012283
ETHUSDT,2024-01-28,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.01446792,0.010849342
ETHUSDT,2024-01-29,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.006827709,0.0050802603
ETHUSDT,2024-01-30,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.012566832,0.0029225945
ETHUSDT,2024-01-31,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.060321074,0.0009417683
ETHUSDT,2024-02-01,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.04881331,-0.0024951845
ETHUSDT,2024-02-02,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.07405972,-0.0033825934
ETHUSDT,2024-02-03,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.08500486,-0.0035875887
ETHUSDT,2024-02-04,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.09071047,-0.0032477304
ETHUSDT,2024-02-05,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.1446179,-0.005458072
ETHUSDT,2024-02-06,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.10677187,-0.00746198
ETHUSDT,2024-02-07,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.13470952,-0.0066308454
ETHUSDT,2024-02-08,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.15407333,-0.0007982254
ETHUSDT,2024-02-09,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.11936184,0.0069674402
ETHUSDT,2024-02-10,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.10819502,0.015124425
ETHUSDT,2024-02-11,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.1390363,0.021922447
ETHUSDT,2024-02-12,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.10171854,0.026263341
ETHUSDT,2024-02-13,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.13276169,0.029272951
ETHUSDT,2024-02-14,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.06727236,0.030961752
ETHUSDT,2024-02-15,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.05137832,0.03191404
ETHUSDT,2024-02-16,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.04208838,0.031762972
ETHUSDT,2024-02-17,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.071567506,0.029414773
ETHUSDT,2024-02-18,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.077248305,0.024888478
ETHUSDT,2024-02-19,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.075562745,0.019710973
ETHUSDT,2024-02-20,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.07276465,0.0148414895
ETHUSDT,2024-02-21,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.13093781,0.011261709
ETHUSDT,2024-02-22,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.116964534,0.007728353
ETHUSDT,2024-02-23,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.16120932,0.005832061
ETHUSDT,2024-02-24,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.13390057,0.002785325
ETHUSDT,2024-02-25,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.113818854,0.00049361587
ETHUSDT,2024-02-26,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.13301173,0.003115967
ETHUSDT,2024-02-27,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.091673784,0.006769754
ETHUSDT,2024-02-28,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.121088795,0.012166858
ETHUSDT,2024-02-29,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.14693628,0.016920097
ETHUSDT,2024-03-01,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.123141,0.017383814
ETHUSDT,2024-03-02,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.13226174,0.015388921
ETHUSDT,2024-03-03,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.10616671,0.011990726
ETHUSDT,2024-03-04,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.11374916,0.0075101852
ETHUSDT,2024-03-05,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.11329652,0.0045623183
ETHUSDT,2024-03-06,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.0476099,-0.0039050952
ETHUSDT,2024-03-07,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.0033391598,-0.009871796
ETHUSDT,2024-03-08,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.037029758,-0.017720848
ETHUSDT,2024-03-09,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.10297311,-0.025937602
