config_id,feature_set,model_type,n_features,cv_mse,seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience
15,ref_paper_set,regime,5,0.00621564745020651,25,0.0001,32,2,0.0,64,35,1e-05,5
21,ref_paper_set,regime,5,0.006237953432813106,15,0.0005,64,1,0.1,64,50,0.0,5
33,ref_paper_set,regime,5,0.006249856419656582,20,0.0001,64,2,0.0,32,50,1e-05,5
34,ref_paper_set,regime,5,0.006353588497809723,25,0.0001,32,2,0.0,32,35,0.0,5
31,ref_paper_set,regime,5,0.006364898566919376,20,0.0005,128,2,0.2,64,50,1e-05,5
14,ref_paper_set,regime,5,0.006400981740607394,10,0.0005,64,2,0.3,64,20,1e-05,5
8,ref_paper_set,regime,5,0.006431461883382815,10,0.0001,64,2,0.3,64,20,0.0,5
32,ref_paper_set,regime,5,0.006455104892170491,15,0.0005,32,2,0.0,32,35,0.0001,5
6,ref_paper_set,regime,5,0.006495610352526581,15,0.0005,64,2,0.3,32,50,0.0001,5
23,ref_paper_set,regime,5,0.006504590624054336,25,0.0001,64,1,0.1,64,50,0.0001,5
13,ref_paper_set,regime,5,0.006533908596531607,25,0.0005,64,1,0.0,32,35,0.0,5
16,ref_paper_set,regime,5,0.0065440944689570775,20,0.0001,32,1,0.0,32,20,0.0,5
35,ref_paper_set,regime,5,0.00655153155406957,15,0.0001,32,2,0.2,64,20,1e-05,5
28,ref_paper_set,regime,5,0.006559081880413018,30,0.001,32,2,0.3,64,35,1e-05,5
29,ref_paper_set,regime,5,0.006559533780769489,30,0.0005,32,2,0.3,32,35,0.0,5
7,ref_paper_set,regime,5,0.00656621943453545,15,0.0005,32,2,0.1,64,20,1e-05,5
5,ref_paper_set,regime,5,0.006576976316395186,15,0.0001,32,2,0.1,32,35,0.0,5
25,ref_paper_set,regime,5,0.0065860340923622794,25,0.0005,64,2,0.3,32,50,1e-05,5
22,ref_paper_set,regime,5,0.006589278219567596,25,0.001,64,2,0.1,64,50,0.0001,5
36,ref_paper_set,regime,5,0.006594908089427612,10,0.001,32,1,0.2,64,50,0.0001,5
18,ref_paper_set,regime,5,0.006597015423484073,10,0.001,64,2,0.1,64,20,1e-05,5
27,ref_paper_set,regime,5,0.0066011919370316105,30,0.0005,64,2,0.1,64,50,0.0,5
20,ref_paper_set,regime,5,0.006610415169491856,15,0.0005,32,1,0.3,64,20,0.0,5
30,ref_paper_set,regime,5,0.006629999413718599,25,0.0005,64,1,0.0,32,20,0.0,5
19,ref_paper_set,regime,5,0.006650897639525695,10,0.0005,128,1,0.2,64,20,0.0001,5
1,ref_paper_set,regime,5,0.006690151442885186,30,0.001,32,1,0.3,32,20,0.0,5
10,ref_paper_set,regime,5,0.006692036331949472,10,0.0005,128,2,0.2,64,20,0.0001,5
17,ref_paper_set,regime,5,0.006716335693207651,10,0.001,64,2,0.2,32,50,0.0001,5
9,ref_paper_set,regime,5,0.006812964691160182,30,0.0005,128,2,0.3,32,35,0.0,5
12,ref_paper_set,regime,5,0.0068683803013777365,30,0.0001,32,1,0.1,32,20,1e-05,5
2,ref_paper_set,regime,5,0.006945321070733553,10,0.0001,32,1,0.2,64,35,0.0,5
26,ref_paper_set,regime,5,0.00694799666577258,15,0.001,128,1,0.2,32,50,0.0001,5
3,ref_paper_set,regime,5,0.007023564418114382,10,0.001,64,1,0.3,32,50,0.0,5
11,ref_paper_set,regime,5,0.007120887542910109,30,0.001,128,1,0.3,64,50,0.0001,5
24,ref_paper_set,regime,5,0.007275766495413846,10,0.001,64,2,0.0,32,20,1e-05,5
4,ref_paper_set,regime,5,0.00734348489461036,30,0.0001,32,1,0.1,32,50,0.0001,5
