config_id,feature_set,model_type,n_features,cv_mse,seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience
22,ref_paper_set,baseline,4,0.009674322084838628,25,0.001,64,2,0.1,64,50,0.0001,5
20,ref_paper_set,baseline,4,0.009679714786923593,15,0.0005,32,1,0.3,64,20,0.0,5
8,ref_paper_set,baseline,4,0.00969386786798832,10,0.0001,64,2,0.3,64,20,0.0,5
33,ref_paper_set,baseline,4,0.009761848601567133,20,0.0001,64,2,0.0,32,50,1e-05,5
32,ref_paper_set,baseline,4,0.009775077087388529,15,0.0005,32,2,0.0,32,35,0.0001,5
26,ref_paper_set,baseline,4,0.009790809892380571,15,0.001,128,1,0.2,32,50,0.0001,5
19,ref_paper_set,baseline,4,0.009790935436777745,10,0.0005,128,1,0.2,64,20,0.0001,5
34,ref_paper_set,baseline,4,0.009804324318155236,25,0.0001,32,2,0.0,32,35,0.0,5
11,ref_paper_set,baseline,4,0.009843921924194627,30,0.001,128,1,0.3,64,50,0.0001,5
29,ref_paper_set,baseline,4,0.009888177660817954,30,0.0005,32,2,0.3,32,35,0.0,5
24,ref_paper_set,baseline,4,0.009893882492826439,10,0.001,64,2,0.0,32,20,1e-05,5
14,ref_paper_set,baseline,4,0.009901620209519723,10,0.0005,64,2,0.3,64,20,1e-05,5
3,ref_paper_set,baseline,4,0.009904648469407178,10,0.001,64,1,0.3,32,50,0.0,5
27,ref_paper_set,baseline,4,0.009904725060396545,30,0.0005,64,2,0.1,64,50,0.0,5
5,ref_paper_set,baseline,4,0.009930767072754131,15,0.0001,32,2,0.1,32,35,0.0,5
15,ref_paper_set,baseline,4,0.009940080547186779,25,0.0001,32,2,0.0,64,35,1e-05,5
16,ref_paper_set,baseline,4,0.009955070459416298,20,0.0001,32,1,0.0,32,20,0.0,5
10,ref_paper_set,baseline,4,0.009958868206499797,10,0.0005,128,2,0.2,64,20,0.0001,5
9,ref_paper_set,baseline,4,0.009961650142136833,30,0.0005,128,2,0.3,32,35,0.0,5
6,ref_paper_set,baseline,4,0.009969041068574219,15,0.0005,64,2,0.3,32,50,0.0001,5
17,ref_paper_set,baseline,4,0.009998185900034406,10,0.001,64,2,0.2,32,50,0.0001,5
1,ref_paper_set,baseline,4,0.010007981524725968,30,0.001,32,1,0.3,32,20,0.0,5
7,ref_paper_set,baseline,4,0.01001291983819866,15,0.0005,32,2,0.1,64,20,1e-05,5
31,ref_paper_set,baseline,4,0.01002073446411101,20,0.0005,128,2,0.2,64,50,1e-05,5
35,ref_paper_set,baseline,4,0.01002187506888805,15,0.0001,32,2,0.2,64,20,1e-05,5
28,ref_paper_set,baseline,4,0.010030769242314242,30,0.001,32,2,0.3,64,35,1e-05,5
2,ref_paper_set,baseline,4,0.010090615755011604,10,0.0001,32,1,0.2,64,35,0.0,5
18,ref_paper_set,baseline,4,0.010127486080251715,10,0.001,64,2,0.1,64,20,1e-05,5
36,ref_paper_set,baseline,4,0.010129099539308637,10,0.001,32,1,0.2,64,50,0.0001,5
21,ref_paper_set,baseline,4,0.010152350978207027,15,0.0005,64,1,0.1,64,50,0.0,5
4,ref_paper_set,baseline,4,0.010163681872028818,30,0.0001,32,1,0.1,32,50,0.0001,5
25,ref_paper_set,baseline,4,0.010182824880975156,25,0.0005,64,2,0.3,32,50,1e-05,5
13,ref_paper_set,baseline,4,0.010202931524493612,25,0.0005,64,1,0.0,32,35,0.0,5
30,ref_paper_set,baseline,4,0.01022629046605693,25,0.0005,64,1,0.0,32,20,0.0,5
23,ref_paper_set,baseline,4,0.010296554582832178,25,0.0001,64,1,0.1,64,50,0.0001,5
12,ref_paper_set,baseline,4,0.010394520040605943,30,0.0001,32,1,0.1,32,20,1e-05,5
