crypto,date,split,model_type,feature_set,feature_names,y_true,y_pred
LINKUSDT,2024-01-01,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.094995074,-0.0061629415
LINKUSDT,2024-01-02,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.10049304,-0.0070818122
LINKUSDT,2024-01-03,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.06326544,-0.011294639
LINKUSDT,2024-01-04,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.033575647,-0.014549533
LINKUSDT,2024-01-05,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.004248997,-0.016211936
LINKUSDT,2024-01-06,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.06546378,-0.016526224
LINKUSDT,2024-01-07,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.11508421,-0.015944155
LINKUSDT,2024-01-08,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.07137116,-0.014306074
LINKUSDT,2024-01-09,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.10739257,-0.011812216
LINKUSDT,2024-01-10,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.044699818,-0.008457476
LINKUSDT,2024-01-11,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.024529532,-0.00547597
LINKUSDT,2024-01-12,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.13015136,-0.0041274037
LINKUSDT,2024-01-13,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.095405236,-0.004151495
LINKUSDT,2024-01-14,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.042525727,-0.0041675884
LINKUSDT,2024-01-15,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.039423566,-0.004549509
LINKUSDT,2024-01-16,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.06569607,-0.0054941606
LINKUSDT,2024-01-17,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.10127298,-0.0056617837
LINKUSDT,2024-01-18,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.064383894,-0.0073883813
LINKUSDT,2024-01-19,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.12761061,-0.008065721
LINKUSDT,2024-01-20,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.095405236,-0.007884745
LINKUSDT,2024-01-21,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.06133935,-0.007785937
LINKUSDT,2024-01-22,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.027432298,-0.009635532
