config_id,feature_set,model_type,n_features,cv_mse,seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience
8,ref_paper_set,regime,5,0.009617457209152738,10,0.0001,64,2,0.3,64,20,0.0,5
23,ref_paper_set,regime,5,0.009671476221194972,25,0.0001,64,1,0.1,64,50,0.0001,5
28,ref_paper_set,regime,5,0.009714124748748122,30,0.001,32,2,0.3,64,35,1e-05,5
7,ref_paper_set,regime,5,0.009718259063236675,15,0.0005,32,2,0.1,64,20,1e-05,5
9,ref_paper_set,regime,5,0.009758326137636476,30,0.0005,128,2,0.3,32,35,0.0,5
20,ref_paper_set,regime,5,0.009759841024488423,15,0.0005,32,1,0.3,64,20,0.0,5
34,ref_paper_set,regime,5,0.009764963248021357,25,0.0001,32,2,0.0,32,35,0.0,5
33,ref_paper_set,regime,5,0.009789044262781257,20,0.0001,64,2,0.0,32,50,1e-05,5
35,ref_paper_set,regime,5,0.009809491074929991,15,0.0001,32,2,0.2,64,20,1e-05,5
18,ref_paper_set,regime,5,0.009835874771403333,10,0.001,64,2,0.1,64,20,1e-05,5
25,ref_paper_set,regime,5,0.009846486946236311,25,0.0005,64,2,0.3,32,50,1e-05,5
16,ref_paper_set,regime,5,0.009853356274728315,20,0.0001,32,1,0.0,32,20,0.0,5
36,ref_paper_set,regime,5,0.009862272297516197,10,0.001,32,1,0.2,64,50,0.0001,5
29,ref_paper_set,regime,5,0.009902903815706928,30,0.0005,32,2,0.3,32,35,0.0,5
11,ref_paper_set,regime,5,0.009914475313433431,30,0.001,128,1,0.3,64,50,0.0001,5
10,ref_paper_set,regime,5,0.009932421104984721,10,0.0005,128,2,0.2,64,20,0.0001,5
32,ref_paper_set,regime,5,0.009936829028582133,15,0.0005,32,2,0.0,32,35,0.0001,5
14,ref_paper_set,regime,5,0.009954712977866544,10,0.0005,64,2,0.3,64,20,1e-05,5
3,ref_paper_set,regime,5,0.009965637437843471,10,0.001,64,1,0.3,32,50,0.0,5
15,ref_paper_set,regime,5,0.009998239415476328,25,0.0001,32,2,0.0,64,35,1e-05,5
19,ref_paper_set,regime,5,0.010006070834124992,10,0.0005,128,1,0.2,64,20,0.0001,5
6,ref_paper_set,regime,5,0.010017019915733855,15,0.0005,64,2,0.3,32,50,0.0001,5
17,ref_paper_set,regime,5,0.010031452572714256,10,0.001,64,2,0.2,32,50,0.0001,5
31,ref_paper_set,regime,5,0.010055387458845244,20,0.0005,128,2,0.2,64,50,1e-05,5
24,ref_paper_set,regime,5,0.010068001589997091,10,0.001,64,2,0.0,32,20,1e-05,5
30,ref_paper_set,regime,5,0.010073243268167992,25,0.0005,64,1,0.0,32,20,0.0,5
5,ref_paper_set,regime,5,0.01011415517843343,15,0.0001,32,2,0.1,32,35,0.0,5
4,ref_paper_set,regime,5,0.010123001771512817,30,0.0001,32,1,0.1,32,50,0.0001,5
27,ref_paper_set,regime,5,0.010169587777360045,30,0.0005,64,2,0.1,64,50,0.0,5
22,ref_paper_set,regime,5,0.010221101787039206,25,0.001,64,2,0.1,64,50,0.0001,5
13,ref_paper_set,regime,5,0.010222255236724015,25,0.0005,64,1,0.0,32,35,0.0,5
21,ref_paper_set,regime,5,0.010236405807557285,15,0.0005,64,1,0.1,64,50,0.0,5
1,ref_paper_set,regime,5,0.010247554094836632,30,0.001,32,1,0.3,32,20,0.0,5
2,ref_paper_set,regime,5,0.010261243681023909,10,0.0001,32,1,0.2,64,35,0.0,5
26,ref_paper_set,regime,5,0.010263202079931182,15,0.001,128,1,0.2,32,50,0.0001,5
12,ref_paper_set,regime,5,0.01033189371751183,30,0.0001,32,1,0.1,32,20,1e-05,5
