config_id,feature_set,model_type,n_features,cv_mse,seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience
18,ref_paper_set,baseline,4,0.007913656717749355,10,0.001,64,2,0.1,64,20,1e-05,5
6,ref_paper_set,baseline,4,0.007927007243268664,15,0.0005,64,2,0.3,32,50,0.0001,5
32,ref_paper_set,baseline,4,0.007928889338817255,15,0.0005,32,2,0.0,32,35,0.0001,5
5,ref_paper_set,baseline,4,0.007934872669099943,15,0.0001,32,2,0.1,32,35,0.0,5
12,ref_paper_set,baseline,4,0.007946540669564786,30,0.0001,32,1,0.1,32,20,1e-05,5
30,ref_paper_set,baseline,4,0.007949228176241796,25,0.0005,64,1,0.0,32,20,0.0,5
7,ref_paper_set,baseline,4,0.007955784669920375,15,0.0005,32,2,0.1,64,20,1e-05,5
3,ref_paper_set,baseline,4,0.007957263411553476,10,0.001,64,1,0.3,32,50,0.0,5
8,ref_paper_set,baseline,4,0.007957350210094182,10,0.0001,64,2,0.3,64,20,0.0,5
14,ref_paper_set,baseline,4,0.007988227245074073,10,0.0005,64,2,0.3,64,20,1e-05,5
29,ref_paper_set,baseline,4,0.007990823992724968,30,0.0005,32,2,0.3,32,35,0.0,5
10,ref_paper_set,baseline,4,0.007997895986522719,10,0.0005,128,2,0.2,64,20,0.0001,5
13,ref_paper_set,baseline,4,0.008007924427949292,25,0.0005,64,1,0.0,32,35,0.0,5
34,ref_paper_set,baseline,4,0.008008530533960447,25,0.0001,32,2,0.0,32,35,0.0,5
33,ref_paper_set,baseline,4,0.00801679884498603,20,0.0001,64,2,0.0,32,50,1e-05,5
15,ref_paper_set,baseline,4,0.008030581693893818,25,0.0001,32,2,0.0,64,35,1e-05,5
20,ref_paper_set,baseline,4,0.00804301547309386,15,0.0005,32,1,0.3,64,20,0.0,5
35,ref_paper_set,baseline,4,0.00804399539218056,15,0.0001,32,2,0.2,64,20,1e-05,5
1,ref_paper_set,baseline,4,0.008050590915451876,30,0.001,32,1,0.3,32,20,0.0,5
27,ref_paper_set,baseline,4,0.008067193314246166,30,0.0005,64,2,0.1,64,50,0.0,5
36,ref_paper_set,baseline,4,0.008077419803866153,10,0.001,32,1,0.2,64,50,0.0001,5
21,ref_paper_set,baseline,4,0.008078280523955697,15,0.0005,64,1,0.1,64,50,0.0,5
25,ref_paper_set,baseline,4,0.008081890733049138,25,0.0005,64,2,0.3,32,50,1e-05,5
28,ref_paper_set,baseline,4,0.008083746558791884,30,0.001,32,2,0.3,64,35,1e-05,5
11,ref_paper_set,baseline,4,0.008085900915980233,30,0.001,128,1,0.3,64,50,0.0001,5
9,ref_paper_set,baseline,4,0.008088941817709302,30,0.0005,128,2,0.3,32,35,0.0,5
19,ref_paper_set,baseline,4,0.008089280675589292,10,0.0005,128,1,0.2,64,20,0.0001,5
31,ref_paper_set,baseline,4,0.008089281883137468,20,0.0005,128,2,0.2,64,50,1e-05,5
17,ref_paper_set,baseline,4,0.008091234614551869,10,0.001,64,2,0.2,32,50,0.0001,5
24,ref_paper_set,baseline,4,0.008101336269949872,10,0.001,64,2,0.0,32,20,1e-05,5
26,ref_paper_set,baseline,4,0.008110600584570492,15,0.001,128,1,0.2,32,50,0.0001,5
22,ref_paper_set,baseline,4,0.008136020710451468,25,0.001,64,2,0.1,64,50,0.0001,5
23,ref_paper_set,baseline,4,0.008138386092316737,25,0.0001,64,1,0.1,64,50,0.0001,5
16,ref_paper_set,baseline,4,0.008199708245020346,20,0.0001,32,1,0.0,32,20,0.0,5
4,ref_paper_set,baseline,4,0.008240893479267507,30,0.0001,32,1,0.1,32,50,0.0001,5
2,ref_paper_set,baseline,4,0.008277211709642336,10,0.0001,32,1,0.2,64,35,0.0,5
