crypto,date,split,model_type,feature_set,feature_names,y_true,y_pred
LTCUSDT,2024-01-01,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.09821858,-0.0210484
LTCUSDT,2024-01-02,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.085505046,-0.022605076
LTCUSDT,2024-01-03,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.07185002,-0.025004812
LTCUSDT,2024-01-04,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.079150416,-0.018012201
LTCUSDT,2024-01-05,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.10039365,-0.0074344706
LTCUSDT,2024-01-06,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.092203036,0.00018061232
LTCUSDT,2024-01-07,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.08225448,0.0035968423
LTCUSDT,2024-01-08,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.020459577,0.0024831966
LTCUSDT,2024-01-09,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.035919715,-0.00069818087
LTCUSDT,2024-01-10,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.009171747,-0.005745126
LTCUSDT,2024-01-11,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.053874016,-0.011292495
LTCUSDT,2024-01-12,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.023292333,-0.016144602
LTCUSDT,2024-01-13,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.008650814,-0.02047446
LTCUSDT,2024-01-14,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.027840419,-0.021642212
LTCUSDT,2024-01-15,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.02593742,-0.021198414
LTCUSDT,2024-01-16,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.058412928,-0.020918861
LTCUSDT,2024-01-17,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.049128547,-0.02149709
LTCUSDT,2024-01-18,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.039073903,-0.020912975
LTCUSDT,2024-01-19,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.061317455,-0.018977836
LTCUSDT,2024-01-20,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.047347818,-0.016043171
LTCUSDT,2024-01-21,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.048546292,-0.013936348
LTCUSDT,2024-01-22,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.015759954,-0.013246015
LTCUSDT,2024-01-23,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.029632911,-0.012513747
LTCUSDT,2024-01-24,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.009481597,-0.007471064
LTCUSDT,2024-01-25,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.030669872,-0.001202154
LTCUSDT,2024-01-26,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.014804119,0.0019144379
LTCUSDT,2024-01-27,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.010959414,-0.00012211688
LTCUSDT,2024-01-28,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.020844867,-0.0049824566
LTCUSDT,2024-01-29,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.010725145,-0.0105057955
