config_id,feature_set,model_type,n_features,cv_mse,seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience
9,ref_paper_set,regime,5,0.007921970669979067,30,0.0005,128,2,0.3,32,35,0.0,5
27,ref_paper_set,regime,5,0.007927819897878021,30,0.0005,64,2,0.1,64,50,0.0,5
35,ref_paper_set,regime,5,0.0079490178542294,15,0.0001,32,2,0.2,64,20,1e-05,5
31,ref_paper_set,regime,5,0.007953965787196102,20,0.0005,128,2,0.2,64,50,1e-05,5
21,ref_paper_set,regime,5,0.00797131100781885,15,0.0005,64,1,0.1,64,50,0.0,5
25,ref_paper_set,regime,5,0.007975409761807805,25,0.0005,64,2,0.3,32,50,1e-05,5
5,ref_paper_set,regime,5,0.007977011422443081,15,0.0001,32,2,0.1,32,35,0.0,5
15,ref_paper_set,regime,5,0.007981410759402131,25,0.0001,32,2,0.0,64,35,1e-05,5
33,ref_paper_set,regime,5,0.007984328391631284,20,0.0001,64,2,0.0,32,50,1e-05,5
22,ref_paper_set,regime,5,0.007989078506175317,25,0.001,64,2,0.1,64,50,0.0001,5
10,ref_paper_set,regime,5,0.008000745052491785,10,0.0005,128,2,0.2,64,20,0.0001,5
14,ref_paper_set,regime,5,0.008008882870147697,10,0.0005,64,2,0.3,64,20,1e-05,5
3,ref_paper_set,regime,5,0.0080330775062617,10,0.001,64,1,0.3,32,50,0.0,5
34,ref_paper_set,regime,5,0.00803340101039333,25,0.0001,32,2,0.0,32,35,0.0,5
13,ref_paper_set,regime,5,0.008053128284890661,25,0.0005,64,1,0.0,32,35,0.0,5
28,ref_paper_set,regime,5,0.008057236220807798,30,0.001,32,2,0.3,64,35,1e-05,5
24,ref_paper_set,regime,5,0.008081728115170446,10,0.001,64,2,0.0,32,20,1e-05,5
11,ref_paper_set,regime,5,0.008103371498240614,30,0.001,128,1,0.3,64,50,0.0001,5
8,ref_paper_set,regime,5,0.008109095581476728,10,0.0001,64,2,0.3,64,20,0.0,5
29,ref_paper_set,regime,5,0.008110821461293894,30,0.0005,32,2,0.3,32,35,0.0,5
6,ref_paper_set,regime,5,0.008112348852848263,15,0.0005,64,2,0.3,32,50,0.0001,5
7,ref_paper_set,regime,5,0.008117875270100406,15,0.0005,32,2,0.1,64,20,1e-05,5
18,ref_paper_set,regime,5,0.0081214853835024,10,0.001,64,2,0.1,64,20,1e-05,5
32,ref_paper_set,regime,5,0.008139273792665493,15,0.0005,32,2,0.0,32,35,0.0001,5
36,ref_paper_set,regime,5,0.008150712320727954,10,0.001,32,1,0.2,64,50,0.0001,5
2,ref_paper_set,regime,5,0.008162605409313487,10,0.0001,32,1,0.2,64,35,0.0,5
19,ref_paper_set,regime,5,0.008166193957646402,10,0.0005,128,1,0.2,64,20,0.0001,5
26,ref_paper_set,regime,5,0.00817826442062196,15,0.001,128,1,0.2,32,50,0.0001,5
30,ref_paper_set,regime,5,0.008191110856670847,25,0.0005,64,1,0.0,32,20,0.0,5
1,ref_paper_set,regime,5,0.00819425354071914,30,0.001,32,1,0.3,32,20,0.0,5
17,ref_paper_set,regime,5,0.008205781783407895,10,0.001,64,2,0.2,32,50,0.0001,5
23,ref_paper_set,regime,5,0.008206668946048603,25,0.0001,64,1,0.1,64,50,0.0001,5
4,ref_paper_set,regime,5,0.008234398182773052,30,0.0001,32,1,0.1,32,50,0.0001,5
20,ref_paper_set,regime,5,0.008250317085376333,15,0.0005,32,1,0.3,64,20,0.0,5
12,ref_paper_set,regime,5,0.008253547618067696,30,0.0001,32,1,0.1,32,20,1e-05,5
16,ref_paper_set,regime,5,0.008340648657240624,20,0.0001,32,1,0.0,32,20,0.0,5
