config_id,feature_set,model_type,n_features,cv_mse,seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience
32,ref_paper_set,baseline,4,0.010053499642394598,15,0.0005,32,2,0.0,32,35,0.0001,5
29,ref_paper_set,baseline,4,0.010107602259692745,30,0.0005,32,2,0.3,32,35,0.0,5
34,ref_paper_set,baseline,4,0.010111365945210843,25,0.0001,32,2,0.0,32,35,0.0,5
5,ref_paper_set,baseline,4,0.010123072267735874,15,0.0001,32,2,0.1,32,35,0.0,5
16,ref_paper_set,baseline,4,0.010127436434749955,20,0.0001,32,1,0.0,32,20,0.0,5
8,ref_paper_set,baseline,4,0.010145746315011629,10,0.0001,64,2,0.3,64,20,0.0,5
12,ref_paper_set,baseline,4,0.010180117389389726,30,0.0001,32,1,0.1,32,20,1e-05,5
15,ref_paper_set,baseline,4,0.010180664019550117,25,0.0001,32,2,0.0,64,35,1e-05,5
21,ref_paper_set,baseline,4,0.010181654153698823,15,0.0005,64,1,0.1,64,50,0.0,5
33,ref_paper_set,baseline,4,0.01019311724998404,20,0.0001,64,2,0.0,32,50,1e-05,5
35,ref_paper_set,baseline,4,0.010197401678205214,15,0.0001,32,2,0.2,64,20,1e-05,5
6,ref_paper_set,baseline,4,0.010222407928284084,15,0.0005,64,2,0.3,32,50,0.0001,5
7,ref_paper_set,baseline,4,0.010234126048674417,15,0.0005,32,2,0.1,64,20,1e-05,5
14,ref_paper_set,baseline,4,0.010272396445772838,10,0.0005,64,2,0.3,64,20,1e-05,5
20,ref_paper_set,baseline,4,0.01034519055762563,15,0.0005,32,1,0.3,64,20,0.0,5
23,ref_paper_set,baseline,4,0.01037847832164626,25,0.0001,64,1,0.1,64,50,0.0001,5
10,ref_paper_set,baseline,4,0.010379669175003716,10,0.0005,128,2,0.2,64,20,0.0001,5
22,ref_paper_set,baseline,4,0.010380045042941826,25,0.001,64,2,0.1,64,50,0.0001,5
25,ref_paper_set,baseline,4,0.010391322819665164,25,0.0005,64,2,0.3,32,50,1e-05,5
28,ref_paper_set,baseline,4,0.01041247314921488,30,0.001,32,2,0.3,64,35,1e-05,5
27,ref_paper_set,baseline,4,0.010421322487859923,30,0.0005,64,2,0.1,64,50,0.0,5
18,ref_paper_set,baseline,4,0.010431665229792468,10,0.001,64,2,0.1,64,20,1e-05,5
17,ref_paper_set,baseline,4,0.010434260956827314,10,0.001,64,2,0.2,32,50,0.0001,5
36,ref_paper_set,baseline,4,0.010514885577425503,10,0.001,32,1,0.2,64,50,0.0001,5
4,ref_paper_set,baseline,4,0.010572984682789948,30,0.0001,32,1,0.1,32,50,0.0001,5
24,ref_paper_set,baseline,4,0.010573653452234119,10,0.001,64,2,0.0,32,20,1e-05,5
30,ref_paper_set,baseline,4,0.010605904633366239,25,0.0005,64,1,0.0,32,20,0.0,5
13,ref_paper_set,baseline,4,0.010632053716386375,25,0.0005,64,1,0.0,32,35,0.0,5
9,ref_paper_set,baseline,4,0.010634829330546257,30,0.0005,128,2,0.3,32,35,0.0,5
11,ref_paper_set,baseline,4,0.010669444144114833,30,0.001,128,1,0.3,64,50,0.0001,5
19,ref_paper_set,baseline,4,0.01073485021640768,10,0.0005,128,1,0.2,64,20,0.0001,5
31,ref_paper_set,baseline,4,0.010762017584943268,20,0.0005,128,2,0.2,64,50,1e-05,5
26,ref_paper_set,baseline,4,0.010898981713484015,15,0.001,128,1,0.2,32,50,0.0001,5
1,ref_paper_set,baseline,4,0.01090683034185004,30,0.001,32,1,0.3,32,20,0.0,5
3,ref_paper_set,baseline,4,0.010907125233682575,10,0.001,64,1,0.3,32,50,0.0,5
2,ref_paper_set,baseline,4,0.010915971307969665,10,0.0001,32,1,0.2,64,35,0.0,5
