crypto,date,split,model_type,feature_set,feature_names,y_true,y_pred
XRPUSDT,2024-01-01,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.0858854,-0.037720717
XRPUSDT,2024-01-02,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.09692852,-0.038128152
XRPUSDT,2024-01-03,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.031276323,-0.023160566
XRPUSDT,2024-01-04,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.025407271,-0.012501523
XRPUSDT,2024-01-05,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.010125785,-0.0046706945
XRPUSDT,2024-01-06,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.011902818,-0.0024478808
XRPUSDT,2024-01-07,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.043986518,-0.002507329
XRPUSDT,2024-01-08,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.0032948959,-0.007142417
XRPUSDT,2024-01-09,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.01540377,-0.013641849
XRPUSDT,2024-01-10,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.05526079,-0.024480894
XRPUSDT,2024-01-11,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.08654327,-0.034149624
XRPUSDT,2024-01-12,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.04596034,-0.03694634
XRPUSDT,2024-01-13,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.037767097,-0.037250936
XRPUSDT,2024-01-14,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.05327705,-0.037685964
XRPUSDT,2024-01-15,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.08743782,-0.03686578
XRPUSDT,2024-01-16,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.10503247,-0.03587993
XRPUSDT,2024-01-17,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.09283304,-0.03602432
XRPUSDT,2024-01-18,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.07171396,-0.030534662
XRPUSDT,2024-01-19,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.022293326,-0.020578738
XRPUSDT,2024-01-20,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.042638183,-0.018386893
XRPUSDT,2024-01-21,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.041668802,-0.019096076
XRPUSDT,2024-01-22,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.014491644,-0.0132057
XRPUSDT,2024-01-23,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.014771892,-0.0074385256
XRPUSDT,2024-01-24,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.02898186,-0.0030827075
XRPUSDT,2024-01-25,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.01569275,-0.00076673925
XRPUSDT,2024-01-26,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.041816603,-0.00876487
XRPUSDT,2024-01-27,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.022310011,-0.017177641
XRPUSDT,2024-01-28,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.0406948,-0.022653908
XRPUSDT,2024-01-29,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.05432676,-0.028013773
XRPUSDT,2024-01-30,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.011223905,-0.027606845
XRPUSDT,2024-01-31,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.020647671,-0.020743132
XRPUSDT,2024-02-01,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.017442873,-0.016781114
XRPUSDT,2024-02-02,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.03029073,-0.017880142
XRPUSDT,2024-02-03,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.010167954,-0.022761237
XRPUSDT,2024-02-04,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.044503603,-0.023678325
XRPUSDT,2024-02-05,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.04738945,-0.024987176
XRPUSDT,2024-02-06,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.038268242,-0.02613493
XRPUSDT,2024-02-07,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.045652658,-0.028888699
XRPUSDT,2024-02-08,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.08827345,-0.031792283
XRPUSDT,2024-02-09,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.069904655,-0.031802163
XRPUSDT,2024-02-10,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.047889914,-0.028339777
XRPUSDT,2024-02-11,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.057253446,-0.020179681
XRPUSDT,2024-02-12,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.0568657,-0.010127872
XRPUSDT,2024-02-13,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.069030985,-0.004261963
XRPUSDT,2024-02-14,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.020793831,0.006894745
XRPUSDT,2024-02-15,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.03843838,0.0347234
XRPUSDT,2024-02-16,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.054815724,0.05501561
XRPUSDT,2024-02-17,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.008404946,0.053256497
XRPUSDT,2024-02-18,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.026556673,0.049975842
XRPUSDT,2024-02-19,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.021560304,0.046678558
XRPUSDT,2024-02-20,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.041632764,0.040590897
XRPUSDT,2024-02-21,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.046089467,0.02789203
XRPUSDT,2024-02-22,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.08109434,0.014739834
XRPUSDT,2024-02-23,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.11832368,0.0018916726
XRPUSDT,2024-02-24,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.16722344,-0.005890608
XRPUSDT,2024-02-25,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.14491794,-0.011019766
XRPUSDT,2024-02-26,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.16241904,-0.015299924
XRPUSDT,2024-02-27,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.008663946,-0.0051749945
XRPUSDT,2024-02-28,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.06252563,0.00082297623
XRPUSDT,2024-02-29,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.06643292,0.01844798
XRPUSDT,2024-03-01,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.0306255,0.031166628
XRPUSDT,2024-03-02,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.038773745,0.05242905
XRPUSDT,2024-03-03,val,baseline,ref_paper_set,sma|ema|momentum|cci,-0.030931136,0.055644304
XRPUSDT,2024-03-04,val,baseline,ref_paper_set,sma|ema|momentum|cci,0.1099816,0.059392855
