config_id,feature_set,model_type,n_features,cv_mse,seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience
35,ref_paper_set,regime,5,0.010113509403866591,15,0.0001,32,2,0.2,64,20,1e-05,5
8,ref_paper_set,regime,5,0.010122995182711592,10,0.0001,64,2,0.3,64,20,0.0,5
7,ref_paper_set,regime,5,0.010128284879907823,15,0.0005,32,2,0.1,64,20,1e-05,5
5,ref_paper_set,regime,5,0.010142462913630133,15,0.0001,32,2,0.1,32,35,0.0,5
29,ref_paper_set,regime,5,0.010164489522031113,30,0.0005,32,2,0.3,32,35,0.0,5
25,ref_paper_set,regime,5,0.010206703070758119,25,0.0005,64,2,0.3,32,50,1e-05,5
6,ref_paper_set,regime,5,0.010211354115446018,15,0.0005,64,2,0.3,32,50,0.0001,5
15,ref_paper_set,regime,5,0.010219604786420896,25,0.0001,32,2,0.0,64,35,1e-05,5
34,ref_paper_set,regime,5,0.010227306755404285,25,0.0001,32,2,0.0,32,35,0.0,5
14,ref_paper_set,regime,5,0.010250777055942226,10,0.0005,64,2,0.3,64,20,1e-05,5
21,ref_paper_set,regime,5,0.010267896061983481,15,0.0005,64,1,0.1,64,50,0.0,5
32,ref_paper_set,regime,5,0.010284118396880966,15,0.0005,32,2,0.0,32,35,0.0001,5
12,ref_paper_set,regime,5,0.01028442179217819,30,0.0001,32,1,0.1,32,20,1e-05,5
33,ref_paper_set,regime,5,0.010301926936854118,20,0.0001,64,2,0.0,32,50,1e-05,5
27,ref_paper_set,regime,5,0.010318684010580628,30,0.0005,64,2,0.1,64,50,0.0,5
19,ref_paper_set,regime,5,0.010342396150945087,10,0.0005,128,1,0.2,64,20,0.0001,5
10,ref_paper_set,regime,5,0.010362797622594497,10,0.0005,128,2,0.2,64,20,0.0001,5
28,ref_paper_set,regime,5,0.010372553170372686,30,0.001,32,2,0.3,64,35,1e-05,5
22,ref_paper_set,regime,5,0.01037949890709452,25,0.001,64,2,0.1,64,50,0.0001,5
30,ref_paper_set,regime,5,0.010436038943975628,25,0.0005,64,1,0.0,32,20,0.0,5
20,ref_paper_set,regime,5,0.010447918814623655,15,0.0005,32,1,0.3,64,20,0.0,5
24,ref_paper_set,regime,5,0.01047258342648528,10,0.001,64,2,0.0,32,20,1e-05,5
4,ref_paper_set,regime,5,0.010498699139616716,30,0.0001,32,1,0.1,32,50,0.0001,5
18,ref_paper_set,regime,5,0.010596034097570923,10,0.001,64,2,0.1,64,20,1e-05,5
9,ref_paper_set,regime,5,0.01063607222781146,30,0.0005,128,2,0.3,32,35,0.0,5
17,ref_paper_set,regime,5,0.01064482150352343,10,0.001,64,2,0.2,32,50,0.0001,5
2,ref_paper_set,regime,5,0.010651616081139218,10,0.0001,32,1,0.2,64,35,0.0,5
11,ref_paper_set,regime,5,0.010656021616623037,30,0.001,128,1,0.3,64,50,0.0001,5
3,ref_paper_set,regime,5,0.0106766002843537,10,0.001,64,1,0.3,32,50,0.0,5
23,ref_paper_set,regime,5,0.010678745316076698,25,0.0001,64,1,0.1,64,50,0.0001,5
26,ref_paper_set,regime,5,0.010684309147293887,15,0.001,128,1,0.2,32,50,0.0001,5
13,ref_paper_set,regime,5,0.010724785258401556,25,0.0005,64,1,0.0,32,35,0.0,5
31,ref_paper_set,regime,5,0.010762825396563968,20,0.0005,128,2,0.2,64,50,1e-05,5
1,ref_paper_set,regime,5,0.010932702365862105,30,0.001,32,1,0.3,32,20,0.0,5
16,ref_paper_set,regime,5,0.010967717798629257,20,0.0001,32,1,0.0,32,20,0.0,5
36,ref_paper_set,regime,5,0.011006519203424775,10,0.001,32,1,0.2,64,50,0.0001,5
